regime,level,threshold,alternative,statistic,auc,ci_low,ci_high
whale song,s = 0,0.5,uniform,shuffle_z,0.9655555555555555,0.9110833333333334,1.0
whale song,s = 0,0.5,uniform,rotate_z,0.9644444444444444,0.9133333333333333,0.9966666666666667
whale song,s = 0,0.5,uniform,bigram_z,0.8044444444444444,0.6788333333333333,0.9133333333333333
whale song,s = 0,0.5,lognormal,observed_mean_r2,0.5033333333333333,0.3588611111111111,0.6489166666666665
whale song,s = 0,0.5,lognormal,shuffle_z,0.3511111111111111,0.2111111111111111,0.49669444444444427
whale song,s = 0,0.5,lognormal,rotate_z,0.43222222222222223,0.2832777777777778,0.5722222222222222
whale song,s = 0,0.5,lognormal,bigram_z,0.4388888888888889,0.2866666666666667,0.58
whale song,s = 0,0.5,geometric,observed_mean_r2,0.6111111111111112,0.46552777777777776,0.7522499999999999
whale song,s = 0,0.5,geometric,shuffle_z,0.2633333333333333,0.14222222222222222,0.3988888888888889
whale song,s = 0,0.5,geometric,rotate_z,0.5055555555555555,0.35777777777777775,0.6578055555555554
whale song,s = 0,0.5,geometric,bigram_z,0.4577777777777778,0.31,0.6077777777777778
whale song,s = 0,0.75,uniform,observed_mean_r2,1.0,1.0,1.0
whale song,s = 0,0.75,uniform,shuffle_z,1.0,1.0,1.0
whale song,s = 0,0.75,uniform,rotate_z,1.0,1.0,1.0
whale song,s = 0,0.75,uniform,bigram_z,1.0,1.0,1.0
whale song,s = 0,0.75,lognormal,observed_mean_r2,0.7822222222222223,0.6521944444444445,0.8933333333333333
whale song,s = 0,0.75,lognormal,shuffle_z,0.5955555555555555,0.4410833333333333,0.736722222222222
whale song,s = 0,0.75,lognormal,rotate_z,0.5833333333333334,0.43222222222222223,0.7266944444444443
whale song,s = 0,0.75,lognormal,bigram_z,0.7044444444444444,0.5688333333333333,0.8255555555555556
whale song,s = 0,0.75,geometric,observed_mean_r2,0.9688888888888889,0.9277777777777778,0.9966666666666667
whale song,s = 0,0.75,geometric,shuffle_z,0.7188888888888889,0.5810833333333334,0.8355833333333332
whale song,s = 0,0.75,geometric,rotate_z,0.7377777777777778,0.6022222222222222,0.8589166666666666
whale song,s = 0,0.75,geometric,bigram_z,0.89,0.7966666666666666,0.9600277777777776
whale song,s = 0.8,0.25,uniform,observed_mean_r2,0.9,0.8111111111111111,0.9711111111111111
whale song,s = 0.8,0.25,uniform,shuffle_z,0.24,0.13666666666666666,0.36336111111111097
whale song,s = 0.8,0.25,uniform,rotate_z,0.18444444444444444,0.08555555555555555,0.30669444444444427
whale song,s = 0.8,0.25,uniform,bigram_z,0.0011111111111111111,0.0,0.006666666666666667
whale song,s = 0.8,0.25,lognormal,observed_mean_r2,0.5044444444444445,0.35330555555555554,0.6600277777777777
whale song,s = 0.8,0.25,lognormal,shuffle_z,0.4166666666666667,0.27555555555555555,0.5544444444444444
whale song,s = 0.8,0.25,lognormal,rotate_z,0.47888888888888886,0.3277777777777778,0.63
whale song,s = 0.8,0.25,lognormal,bigram_z,0.3111111111111111,0.18108333333333335,0.4478055555555554
whale song,s = 0.8,0.25,geometric,observed_mean_r2,0.5955555555555555,0.4499722222222222,0.7322499999999998
whale song,s = 0.8,0.25,geometric,shuffle_z,0.16777777777777778,0.07444444444444444,0.2811111111111111
whale song,s = 0.8,0.25,geometric,rotate_z,0.2777777777777778,0.1511111111111111,0.4111388888888887
whale song,s = 0.8,0.25,geometric,bigram_z,0.09666666666666666,0.02666666666666667,0.18224999999999986
whale song,s = 0.8,0.5,uniform,observed_mean_r2,0.9866666666666667,0.9610833333333334,1.0
whale song,s = 0.8,0.5,uniform,shuffle_z,0.34444444444444444,0.2111111111111111,0.48444444444444446
whale song,s = 0.8,0.5,uniform,rotate_z,0.38555555555555554,0.23777777777777778,0.5300277777777777
whale song,s = 0.8,0.5,uniform,bigram_z,0.09444444444444444,0.016666666666666666,0.1922222222222222
whale song,s = 0.8,0.5,lognormal,observed_mean_r2,0.2822222222222222,0.15333333333333332,0.4244722222222221
whale song,s = 0.8,0.5,lognormal,shuffle_z,0.3466666666666667,0.21886111111111112,0.4811111111111111
