regime,units,alternative,statistic,auc,ci_low,ci_high
"whale song, s = 0",discovered,uniform,lr_normalized_R,0.7122222222222222,0.5710833333333334,0.8455833333333331
"whale song, s = 0",discovered,uniform,csn_alpha,0.1,0.02,0.20777777777777778
"whale song, s = 0",discovered,lognormal,loglog_r2,0.4777777777777778,0.32222222222222224,0.6311388888888887
"whale song, s = 0",discovered,lognormal,tail_fraction,0.36333333333333334,0.22777777777777777,0.5122499999999999
"whale song, s = 0",discovered,lognormal,gof_p,0.625,0.47273611111111113,0.76
"whale song, s = 0",discovered,lognormal,lr_normalized_R,0.5833333333333334,0.4388888888888889,0.7311388888888888
"whale song, s = 0",discovered,lognormal,csn_alpha,0.6688888888888889,0.5255555555555556,0.7955555555555556
"whale song, s = 0",discovered,geometric,loglog_r2,0.47888888888888886,0.3299722222222222,0.6322222222222222
"whale song, s = 0",discovered,geometric,tail_fraction,0.3811111111111111,0.2411111111111111,0.5233611111111109
"whale song, s = 0",discovered,geometric,gof_p,0.6683333333333333,0.5272083333333334,0.8011111111111111
"whale song, s = 0",discovered,geometric,lr_normalized_R,0.6022222222222222,0.45108333333333334,0.7488888888888889
"whale song, s = 0",discovered,geometric,csn_alpha,0.7355555555555555,0.6033055555555557,0.8566666666666667
"whale song, s = 0.8",true,uniform,loglog_r2,1.0,1.0,1.0
"whale song, s = 0.8",true,uniform,tail_fraction,0.7588888888888888,0.6366111111111111,0.8711111111111111
"whale song, s = 0.8",true,uniform,gof_p,0.9955555555555555,0.9844444444444445,1.0
"whale song, s = 0.8",true,uniform,lr_normalized_R,0.9955555555555555,0.9822222222222222,1.0
"whale song, s = 0.8",true,uniform,csn_alpha,0.0,0.0,0.0
"whale song, s = 0.8",true,lognormal,loglog_r2,1.0,1.0,1.0
"whale song, s = 0.8",true,lognormal,tail_fraction,0.8,0.6733055555555556,0.9033333333333333
"whale song, s = 0.8",true,lognormal,gof_p,0.97,0.9133333333333333,1.0
"whale song, s = 0.8",true,lognormal,lr_normalized_R,0.8477777777777777,0.7388611111111112,0.9355833333333332
"whale song, s = 0.8",true,lognormal,csn_alpha,0.15666666666666668,0.06666666666666667,0.2678055555555554
"whale song, s = 0.8",true,geometric,loglog_r2,1.0,1.0,1.0
"whale song, s = 0.8",true,geometric,tail_fraction,0.6838888888888889,0.5399722222222223,0.8122222222222222
"whale song, s = 0.8",true,geometric,gof_p,1.0,1.0,1.0
"whale song, s = 0.8",true,geometric,lr_normalized_R,1.0,1.0,1.0
"whale song, s = 0.8",true,geometric,csn_alpha,0.2588888888888889,0.1411111111111111,0.38
"whale song, s = 0.8",discovered,uniform,loglog_r2,0.9055555555555556,0.8277777777777777,0.9633333333333334
"whale song, s = 0.8",discovered,uniform,tail_fraction,0.15333333333333332,0.06111111111111111,0.26224999999999987
"whale song, s = 0.8",discovered,uniform,gof_p,0.7288888888888889,0.5966666666666667,0.8489166666666665
"whale song, s = 0.8",discovered,uniform,lr_normalized_R,0.3566666666666667,0.22111111111111112,0.5
"whale song, s = 0.8",discovered,uniform,csn_alpha,0.49666666666666665,0.34775,0.6544722222222221
"whale song, s = 0.8",discovered,lognormal,loglog_r2,0.29,0.17,0.4244722222222221
"whale song, s = 0.8",discovered,lognormal,tail_fraction,0.29888888888888887,0.17775000000000002,0.433361111111111
"whale song, s = 0.8",discovered,lognormal,gof_p,0.5238888888888888,0.3677638888888889,0.6750138888888888
"whale song, s = 0.8",discovered,lognormal,lr_normalized_R,0.45111111111111113,0.30444444444444446,0.5966666666666667
"whale song, s = 0.8",discovered,lognormal,csn_alpha,0.6822222222222222,0.5333333333333333,0.8177777777777778
"whale song, s = 0.8",discovered,geometric,loglog_r2,0.2966666666666667,0.1688888888888889,0.4366944444444443
"whale song, s = 0.8",discovered,geometric,tail_fraction,0.37555555555555553,0.23219444444444445,0.5166666666666667
"whale song, s = 0.8",discovered,geometric,gof_p,0.4816666666666667,0.3327638888888889,0.6333611111111109
"whale song, s = 0.8",discovered,geometric,lr_normalized_R,0.38222222222222224,0.24666666666666667,0.5378055555555554
"whale song, s = 0.8",discovered,geometric,csn_alpha,0.6588888888888889,0.516638888888889,0.7922499999999999
