regime,level,change,alternative,statistic,auc,ci_low,ci_high
"whale, independent words",m = 5,Zipf exponent 1.2,lognormal,shuffle_z,0.2477777777777778,0.12886111111111112,0.38
"whale, independent words",m = 5,Zipf exponent 1.2,lognormal,rotate_z,0.4088888888888889,0.2644444444444444,0.5611388888888887
"whale, independent words",m = 5,Zipf exponent 1.2,lognormal,bigram_z,0.0,0.0,0.0
"whale, independent words",m = 5,Zipf exponent 1.2,geometric,observed_mean_r2,0.9988888888888889,0.9933333333333333,1.0
"whale, independent words",m = 5,Zipf exponent 1.2,geometric,shuffle_z,0.16777777777777778,0.07,0.28888888888888886
"whale, independent words",m = 5,Zipf exponent 1.2,geometric,rotate_z,0.3,0.17775000000000002,0.44222222222222224
"whale, independent words",m = 5,Zipf exponent 1.2,geometric,bigram_z,0.0,0.0,0.0
finch,,lognormal sigma 0.5,lognormal,observed_mean_r2,0.8277777777777777,0.7155555555555555,0.9233333333333333
finch,,lognormal sigma 0.5,lognormal,shuffle_z,0.5,0.3543888888888889,0.6522222222222223
finch,,lognormal sigma 0.5,lognormal,rotate_z,0.4,0.2611111111111111,0.543361111111111
finch,,lognormal sigma 0.5,lognormal,bigram_z,0.39111111111111113,0.25666666666666665,0.5388888888888889
finch,,lognormal sigma 1.5,lognormal,observed_mean_r2,0.6866666666666666,0.5466388888888889,0.8188888888888889
finch,,lognormal sigma 1.5,lognormal,shuffle_z,0.7111111111111111,0.5755555555555556,0.8322222222222222
finch,,lognormal sigma 1.5,lognormal,rotate_z,0.8133333333333334,0.6988888888888889,0.91
finch,,lognormal sigma 1.5,lognormal,bigram_z,0.8022222222222222,0.6821944444444444,0.9055555555555556
finch,,lognormal sigma 2,lognormal,observed_mean_r2,0.76,0.6310833333333333,0.8778055555555554
finch,,lognormal sigma 2,lognormal,shuffle_z,0.7933333333333333,0.6711111111111111,0.8944444444444445
finch,,lognormal sigma 2,lognormal,rotate_z,0.9277777777777778,0.8566666666666667,0.9833333333333333
finch,,lognormal sigma 2,lognormal,bigram_z,0.8355555555555556,0.7233333333333334,0.9266944444444443
finch,,geometric tail 0.2,geometric,observed_mean_r2,0.8055555555555556,0.6855277777777778,0.9088888888888889
finch,,geometric tail 0.2,geometric,shuffle_z,0.5388888888888889,0.38555555555555554,0.6856111111111108
finch,,geometric tail 0.2,geometric,rotate_z,0.45111111111111113,0.31444444444444447,0.6022222222222222
finch,,geometric tail 0.2,geometric,bigram_z,0.37,0.23108333333333334,0.5055555555555555
finch,,geometric tail 0.01,geometric,observed_mean_r2,0.56,0.4122222222222222,0.7155833333333331
finch,,geometric tail 0.01,geometric,shuffle_z,0.8288888888888889,0.7033055555555556,0.9277777777777778
finch,,geometric tail 0.01,geometric,rotate_z,0.8755555555555555,0.77775,0.9511111111111111
finch,,geometric tail 0.01,geometric,bigram_z,0.8677777777777778,0.7533055555555556,0.9522222222222222
finch,,Zipf exponent 0.8,uniform,observed_mean_r2,0.9511111111111111,0.886638888888889,0.9955555555555555
finch,,Zipf exponent 0.8,uniform,shuffle_z,0.44666666666666666,0.30774999999999997,0.5966944444444443
finch,,Zipf exponent 0.8,uniform,rotate_z,0.63,0.48441666666666666,0.7633333333333333
finch,,Zipf exponent 0.8,uniform,bigram_z,0.41333333333333333,0.26663888888888887,0.5589166666666665
finch,,Zipf exponent 0.8,lognormal,observed_mean_r2,0.4855555555555556,0.3466666666666667,0.6289444444444442
finch,,Zipf exponent 0.8,lognormal,shuffle_z,0.6177777777777778,0.4677777777777778,0.7611111111111111
finch,,Zipf exponent 0.8,lognormal,rotate_z,0.62,0.4643888888888889,0.7588888888888888
finch,,Zipf exponent 0.8,lognormal,bigram_z,0.6277777777777778,0.48441666666666666,0.7633611111111109
finch,,Zipf exponent 0.8,geometric,observed_mean_r2,0.4922222222222222,0.3377777777777778,0.6422222222222222
finch,,Zipf exponent 0.8,geometric,shuffle_z,0.6744444444444444,0.5344166666666668,0.8144444444444444
finch,,Zipf exponent 0.8,geometric,rotate_z,0.7055555555555556,0.58,0.8288888888888889
finch,,Zipf exponent 0.8,geometric,bigram_z,0.6977777777777778,0.5533333333333333,0.8322499999999998
finch,,Zipf exponent 1.2,uniform,observed_mean_r2,0.9911111111111112,0.9688888888888889,1.0
finch,,Zipf exponent 1.2,uniform,shuffle_z,0.3477777777777778,0.21219444444444446,0.4866944444444443
finch,,Zipf exponent 1.2,uniform,rotate_z,0.5177777777777778,0.36774999999999997,0.6689166666666665
finch,,Zipf exponent 1.2,uniform,bigram_z,0.25555555555555554,0.13444444444444445,0.38666666666666666
finch,,Zipf exponent 1.2,lognormal,observed_mean_r2,0.7222222222222222,0.5977222222222222,0.8411111111111111
finch,,Zipf exponent 1.2,lognormal,shuffle_z,0.5322222222222223,0.38555555555555554,0.6844444444444444
finch,,Zipf exponent 1.2,lognormal,rotate_z,0.49444444444444446,0.3388888888888889,0.6488888888888888
finch,,Zipf exponent 1.2,lognormal,bigram_z,0.45555555555555555,0.30444444444444446,0.6000277777777776
finch,,Zipf exponent 1.2,geometric,observed_mean_r2,0.6966666666666667,0.5577500000000001,0.8244444444444444
finch,,Zipf exponent 1.2,geometric,shuffle_z,0.5577777777777778,0.4088611111111111,0.7022222222222222
finch,,Zipf exponent 1.2,geometric,rotate_z,0.6033333333333334,0.4633055555555555,0.7477777777777778
finch,,Zipf exponent 1.2,geometric,bigram_z,0.5522222222222222,0.4021944444444444,0.7022499999999998
whale song,s = 0,lognormal sigma 0.5,lognormal,observed_mean_r2,0.9977777777777778,0.99,1.0
whale song,s = 0,lognormal sigma 0.5,lognormal,shuffle_z,0.8,0.6755277777777778,0.9011388888888887
whale song,s = 0,lognormal sigma 0.5,lognormal,rotate_z,0.9522222222222222,0.8911111111111111,0.9911111111111112
whale song,s = 0,lognormal sigma 0.5,lognormal,bigram_z,0.8733333333333333,0.7721666666666667,0.9522222222222222
whale song,s = 0.8,lognormal sigma 0.5,lognormal,observed_mean_r2,0.8266666666666667,0.7055555555555556,0.92
whale song,s = 0.8,lognormal sigma 0.5,lognormal,shuffle_z,0.3622222222222222,0.23219444444444445,0.5055833333333332
whale song,s = 0.8,lognormal sigma 0.5,lognormal,rotate_z,0.42,0.2766388888888889,0.5644444444444444
whale song,s = 0.8,lognormal sigma 0.5,lognormal,bigram_z,0.25666666666666665,0.1388888888888889,0.39444444444444443
whale song,s = 0,lognormal sigma 1.5,lognormal,observed_mean_r2,0.05555555555555555,0.012222222222222223,0.12113888888888874
whale song,s = 0,lognormal sigma 1.5,lognormal,shuffle_z,0.2722222222222222,0.14777777777777779,0.4078055555555554
whale song,s = 0,lognormal sigma 1.5,lognormal,rotate_z,0.1388888888888889,0.052222222222222225,0.2411111111111111
whale song,s = 0,lognormal sigma 1.5,lognormal,bigram_z,0.13,0.04888888888888889,0.22444444444444445
whale song,s = 0.8,lognormal sigma 1.5,lognormal,observed_mean_r2,0.10777777777777778,0.021111111111111112,0.21894444444444414
whale song,s = 0.8,lognormal sigma 1.5,lognormal,shuffle_z,0.36444444444444446,0.22886111111111113,0.5133611111111109
