song,stickiness,alternative,statistic,auc,ci_low,ci_high
20 renditions per cycle,0,uniform,bigram_z,0.9377777777777778,0.8622222222222222,0.9911111111111112
20 renditions per cycle,0,uniform,observed_mean_slope,0.7988888888888889,0.6788611111111111,0.9011388888888887
20 renditions per cycle,0,lognormal,observed_mean_r2,0.4855555555555556,0.3299722222222222,0.6366944444444443
20 renditions per cycle,0,lognormal,shuffle_z,0.44222222222222224,0.29330555555555554,0.5900277777777776
20 renditions per cycle,0,lognormal,rotate_z,0.4955555555555556,0.33775,0.6455833333333332
20 renditions per cycle,0,lognormal,bigram_z,0.48777777777777775,0.3366388888888889,0.6255555555555555
20 renditions per cycle,0,lognormal,observed_mean_slope,0.8766666666666667,0.7799444444444444,0.9566666666666667
20 renditions per cycle,0,geometric,observed_mean_r2,0.6211111111111111,0.47888888888888886,0.7544722222222221
20 renditions per cycle,0,geometric,shuffle_z,0.4211111111111111,0.2833333333333333,0.5666944444444443
20 renditions per cycle,0,geometric,rotate_z,0.6333333333333333,0.47552777777777777,0.7788888888888889
20 renditions per cycle,0,geometric,bigram_z,0.56,0.4110833333333333,0.7066666666666667
20 renditions per cycle,0,geometric,observed_mean_slope,0.9755555555555555,0.9166666666666666,1.0
20 renditions per cycle,0.8,uniform,observed_mean_r2,0.9833333333333333,0.9533333333333334,1.0
20 renditions per cycle,0.8,uniform,shuffle_z,0.6355555555555555,0.4855555555555556,0.7700555555555553
20 renditions per cycle,0.8,uniform,rotate_z,0.8111111111111111,0.6922222222222222,0.9122499999999999
20 renditions per cycle,0.8,uniform,bigram_z,0.3377777777777778,0.20555555555555555,0.4777777777777778
20 renditions per cycle,0.8,uniform,observed_mean_slope,0.9433333333333334,0.8722222222222222,0.9911111111111112
20 renditions per cycle,0.8,lognormal,observed_mean_r2,0.4311111111111111,0.2777777777777778,0.577833333333333
20 renditions per cycle,0.8,lognormal,shuffle_z,0.40444444444444444,0.2511111111111111,0.5522222222222222
20 renditions per cycle,0.8,lognormal,rotate_z,0.47555555555555556,0.3277777777777778,0.6222222222222222
20 renditions per cycle,0.8,lognormal,bigram_z,0.5166666666666667,0.36777777777777776,0.6566666666666666
