regime,law,stickiness,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
song,lognormal,0.8,3,4,2014,true,1.0,1.0,0.05,24,0.6892024501791899,13,1.806214044567041,23,0.9583333333333334,0.03,0.0,-2.7103837325403806,-1.4197473486847665,0.15568124818598206,False,3.3621980078340497,1.0710742613178332,3.439026841078885e-12,
song,lognormal,0.8,3,5,2015,discovered,1.0,1.0,0.05,188,0.9222810974560455,20,2.1512608479941964,33,0.17553191489361702,0.24,0.0,-0.6679754666462596,-0.7806383282899111,0.43501524226505806,False,1.7832544066683806,1.5111043424363113,1.2863665688200854e-10,
song,lognormal,0.8,3,5,2015,true,1.0,1.0,0.05,24,0.9545654989004795,70,2.282966477446409,15,0.625,0.43,0.0,-0.04059645805862644,-0.23073702962204024,0.8175191041546545,False,-2.9753482609591284,2.5951051433679653,1.961070680067678e-06,
song,lognormal,0.8,3,6,2016,discovered,1.0,1.0,0.05,126,0.9286568265315254,3,1.6269262395982433,71,0.5634920634920635,0.03,0.0,-4.307345860893414,-2.0236188759563025,0.043009381334180204,False,1.0951056840424016,1.864633795807455,3.240074875066057e-12,
song,lognormal,0.8,3,6,2016,true,1.0,1.0,0.05,24,0.7139319301806554,109,4.016057977640811,10,0.4166666666666667,0.14,0.0,-0.0712300742630827,-0.40721059994874875,0.6838533169843852,False,3.2712822541030313,0.8158497691396283,1.709068442323769e-10,
song,lognormal,0.8,3,7,2017,discovered,1.0,1.0,0.05,163,0.9454081832452519,2,1.6673395283841028,112,0.6871165644171779,0.0,0.0,-3.9723208446576512,-1.7936782211158615,0.07286454343279321,False,-0.6814599579160361,2.209421573337028,3.384457158972509e-10,
song,lognormal,0.8,3,7,2017,true,1.0,1.0,0.05,24,0.9183658497254387,34,2.120036089743283,20,0.8333333333333334,0.19,0.0,-0.25793016485330744,-0.4475638521666909,0.6544679959933217,False,1.3574543956639533,1.8138334337395319,9.51050083131122e-09,
song,lognormal,0.8,4,0,2010,discovered,1.0,1.0,0.05,63,0.9191674281887503,1,2.1262004519530993,63,1.0,0.14,0.0,-1.7433795917099197,-1.2245827415871875,0.22073247373396476,False,-1.2422615675464446,1.3248137635049073,2.4158453015843406e-11,
song,lognormal,0.8,4,0,2010,true,1.0,1.0,0.05,23,0.9098303035135233,3,1.7932801046958182,18,0.782608695652174,0.43,0.0,-1.225166192956264,-1.009847757496421,0.3125682353680066,False,1.2691914227587606,1.378621455830915,8.455458555545192e-13,
song,lognormal,0.8,4,1,2011,discovered,1.0,1.0,0.05,76,0.9522059368608438,1,1.7659569801055133,76,1.0,0.11,0.0,-0.8093455867774371,-0.6369215707492171,0.524175931416347,False,-8.117080376558597,3.263261206891169,3.5949483390140813e-09,
song,lognormal,0.8,4,1,2011,true,1.0,1.0,0.05,22,0.8882091073570451,6,1.8690058733644088,17,0.7727272727272727,0.28,0.0,-1.2366384654694542,-1.0039282745030615,0.31541318693074505,False,2.1256497987396994,1.2181421873458675,6.423306331271306e-12,
song,lognormal,0.8,4,2,2012,discovered,1.0,1.0,0.05,114,0.9439288642575026,1,1.9412819379287967,114,1.0,0.74,0.0,-0.5288432533503997,-0.47798415491398877,0.6326614827671919,False,-15.365713331169767,3.800471414273031,2.651688646437833e-08,
song,lognormal,0.8,4,2,2012,true,1.0,1.0,0.05,24,0.9216240083793321,7,1.796311692046258,22,0.9166666666666666,0.44,0.0,-1.2010083522324155,-1.0107726617518467,0.3121252505437213,False,1.9825847320575343,1.5044274988620803,6.075140390748857e-11,
song,lognormal,0.8,4,3,2013,discovered,1.0,1.0,0.05,73,0.9472184885884799,1,1.6171523352792847,73,1.0,0.06,0.0,-3.0602963194208437,-1.4913603729108629,0.1358669061306277,False,-1.6876334581529566,2.2860959577007445,4.376943252282217e-12,
song,lognormal,0.8,4,3,2013,true,1.0,1.0,0.05,22,0.7770602061482532,7,1.821865429252094,19,0.8636363636363636,0.02,0.0,-3.2151197482119325,-1.410727940407015,0.1583248491314081,False,2.886455258730656,0.8829613681934912,5.826450433232822e-13,
song,lognormal,0.8,4,4,2014,discovered,1.0,1.0,0.05,79,0.8966767050941123,8,1.9224190448390708,42,0.5316455696202531,0.18,0.0,-1.4245837600592868,-1.1018745389306397,0.2705162190788629,False,1.442432478948306,1.573473946020036,6.224354365258478e-12,
song,lognormal,0.8,4,4,2014,true,1.0,1.0,0.05,24,0.9272511409637784,28,2.074485065482246,15,0.625,0.46,0.0,-0.08658569107301117,-0.26701925795413783,0.7894543335578884,False,-1.3209679494471187,2.4153491641488483,1.1643332697985898e-07,
song,lognormal,0.8,4,5,2015,discovered,1.0,1.0,0.05,218,0.95653200713719,1,1.592949864096355,218,1.0,0.06,0.0,-3.005421522717187,-1.1908084560631498,0.2337287885049063,False,-8.338804974052223,3.891869768699685,7.934090717753861e-09,
song,lognormal,0.8,4,5,2015,true,1.0,1.0,0.05,24,0.8250456366320478,92,2.3114374367590798,13,0.5416666666666666,0.49,0.0,-0.40789255370727595,-0.5620399532238494,0.5740887982171313,False,4.09405626323055,1.126695413466714,2.3439383767254185e-10,
