law,brevity,mean_repeats,dataset,condition,loglog_r2,loglog_r2_undefined_years,loglog_slope,loglog_slope_undefined_years,brevity_r2,brevity_r2_undefined_years,brevity_slope,brevity_slope_undefined_years,csn_alpha,csn_alpha_undefined_years,boundary_f1,boundary_f1_undefined_years
zipf,True,1.0,12,clean,0.948784467398443,0,-0.9542426537933135,0,0.19551072302859296,0,-0.8832037548388092,0,2.00676961944786,0,0.788519228939903,0
zipf,True,1.0,12,confuse_6.7,0.883660026266844,0,-0.7266184491195746,0,0.12828195342353768,0,-0.8701659915409545,0,2.2942332105524645,0,0.7155260598653149,0
zipf,True,1.0,12,confuse_19.19,0.7636068206752624,0,-0.48797801561274357,0,0.1159181254542297,0,-1.1582851669230951,0,2.674836899155219,0,0.5819118026174377,0
zipf,True,1.0,12,oversplit_25,0.9247072137040501,0,-0.82610987180738,0,0.17699338467780368,0,-0.8974549035397595,0,2.1062703194156134,0,0.758721564107512,0
zipf,True,1.0,12,undersplit_25,0.9425459541112956,0,-0.9016516150328047,0,0.19159235736841296,0,-0.9413396364107868,0,2.108225437398651,0,0.745242040153095,0
zipf,True,1.0,13,clean,0.9407955796312212,0,-0.951143001455504,0,0.20481055977086018,0,-0.9328663317394148,0,2.1341798143993427,0,0.7737990862631369,0
zipf,True,1.0,13,confuse_6.7,0.8676349205958097,0,-0.7060338519749344,0,0.12486871301301036,0,-0.8578597085926616,0,2.2905722951048926,0,0.7035802485983413,0
zipf,True,1.0,13,confuse_19.19,0.7688176758379162,0,-0.4841803931881451,0,0.1172461659324062,0,-1.1977759973252944,0,2.591210429916317,0,0.5840523024809514,0
zipf,True,1.0,13,oversplit_25,0.9260426333687353,0,-0.8389879852286499,0,0.19272949021162217,0,-0.9153741849762405,0,2.1094255943567135,0,0.762421148740558,0
zipf,True,1.0,13,undersplit_25,0.9344924098036995,0,-0.8969169664507931,0,0.2038043503725518,0,-0.9505247798628217,0,2.062515382314032,0,0.7301756694175701,0
zipf,True,1.0,14,clean,0.9472561562990758,0,-0.9835609888029103,0,0.21398855418225524,0,-0.8969351891685363,0,1.9549647651627406,0,0.803180676543398,0
zipf,True,1.0,14,confuse_6.7,0.8757512670357765,0,-0.7304451807377141,0,0.12413833197864246,0,-0.8187034588121052,0,2.2325242530226537,0,0.7252088430842258,0
zipf,True,1.0,14,confuse_19.19,0.7686009036419574,0,-0.4946008888355453,0,0.11069627869545998,0,-1.1271368657876275,0,2.6826762253565604,0,0.5976298689096271,0
zipf,True,1.0,14,oversplit_25,0.9211340006871409,0,-0.8441148399387626,0,0.19137336731677707,0,-0.9292729966430071,0,2.1190617647899908,0,0.7619175117515635,0
zipf,True,1.0,14,undersplit_25,0.9420918929126942,0,-0.9508894156358125,0,0.2018662788469736,0,-0.8938020836102973,0,2.021621222053751,0,0.7718844657831161,0
zipf,True,1.0,15,clean,0.9458587895271694,0,-0.9239149094285309,0,0.22116016943001288,0,-1.0295312721969996,0,2.0987838720123415,0,0.7607166473989535,0
zipf,True,1.0,15,confuse_6.7,0.8716056701930376,0,-0.6779520448970778,0,0.12012960679214196,0,-0.9107793278692291,0,2.3104514925371458,0,0.6798064793785679,0
zipf,True,1.0,15,confuse_19.19,0.7704326785223661,0,-0.47652610010553414,0,0.11674151335258524,0,-1.2213778917568567,0,2.654826459362481,0,0.5673752664802817,0
zipf,True,1.0,15,oversplit_25,0.922249003287728,0,-0.7934830787773794,0,0.20717268148297133,0,-1.1082415541580497,0,2.129920892264298,0,0.7390498030892039,0
zipf,True,1.0,15,undersplit_25,0.9382085601030974,0,-0.8812203564418788,0,0.2201333475931968,0,-1.0559938452667206,0,2.033272995870984,0,0.7278418193601927,0
zipf,True,1.0,16,clean,0.9440322514887275,0,-0.9591793566892921,0,0.2022612315006869,0,-0.875117269681003,0,2.001685639850588,0,0.78669155999024,0
zipf,True,1.0,16,confuse_6.7,0.8821411500853473,0,-0.7204807226772201,0,0.11904293885348488,0,-0.8247850231828192,0,2.2137485249909377,0,0.7158671796832989,0
zipf,True,1.0,16,confuse_19.19,0.767430312392571,0,-0.48445207845963856,0,0.11413135377620293,0,-1.1692751817734766,0,2.5909457734864825,0,0.5876668149951756,0
zipf,True,1.0,16,oversplit_25,0.9249413325085598,0,-0.8266014510022444,0,0.18173688727435908,0,-0.8981282261591228,0,2.113292695634016,0,0.7621227410936684,0
zipf,True,1.0,16,undersplit_25,0.9391437243874348,0,-0.9144591834012656,0,0.20964232349220385,0,-0.93907015339354,0,2.021726349863912,0,0.7569604271488294,0
zipf,True,1.0,17,clean,0.9483160035276702,0,-0.9883146757660358,0,0.21603983265862217,0,-0.9130114302064845,0,2.029159447258465,0,0.8113642761140638,0
zipf,True,1.0,17,confuse_6.7,0.8660592589928608,0,-0.7132319003615228,0,0.11396911430222953,0,-0.8219750176067568,0,2.200278953243313,0,0.728393310606084,0
zipf,True,1.0,17,confuse_19.19,0.7415651392623234,0,-0.46898340420078244,0,0.10529141014013442,0,-1.160591276184931,0,2.6684468891441964,0,0.5897608376506659,0
zipf,True,1.0,17,oversplit_25,0.928132885635677,0,-0.8477094192118668,0,0.19186501515209217,0,-0.9202036660947522,0,2.1519610411584793,0,0.7816776348069854,0
zipf,True,1.0,17,undersplit_25,0.949651874197219,0,-0.9484770958753752,0,0.20587355547542852,0,-0.8994693290488285,0,1.9741780403397007,0,0.7825233582514793,0
zipf,True,1.0,18,clean,0.9386435385730225,0,-0.9541948198851579,0,0.2079312977405763,0,-0.9436333268036853,0,1.9989459311752134,0,0.7748045688645671,0
zipf,True,1.0,18,confuse_6.7,0.8672295957616123,0,-0.7098767890450167,0,0.1253237691124354,0,-0.876239876649868,0,2.2199200279368068,0,0.7028096338463514,0
zipf,True,1.0,18,confuse_19.19,0.7434455962164324,0,-0.46514790617141344,0,0.11039685950167807,0,-1.257515806560931,0,2.571979537417948,0,0.5610806869467762,0
zipf,True,1.0,18,oversplit_25,0.9120374613778026,0,-0.8244829841644425,0,0.1799782897553284,0,-0.9201312679416265,0,2.1869531042294104,0,0.7438198003770442,0
zipf,True,1.0,18,undersplit_25,0.9344121259106076,0,-0.9280016900097343,0,0.20755671962232175,0,-0.9322341290541223,0,2.0286694542992207,0,0.7511816789483978,0
zipf,True,1.0,19,clean,0.949879794603198,0,-0.9960082872363951,0,0.20296307413817705,0,-0.8760282485717503,0,1.9416153091214126,0,0.8038056873780182,0
zipf,True,1.0,19,confuse_6.7,0.8692145765147347,0,-0.7212776249639035,0,0.12119228652771133,0,-0.8407045950144895,0,2.232413278238183,0,0.7270572126000263,0
zipf,True,1.0,19,confuse_19.19,0.7719896382663783,0,-0.500030985090758,0,0.10944827271172837,0,-1.1326908297411207,0,2.544006192158048,0,0.595274535618679,0
zipf,True,1.0,19,oversplit_25,0.933169990704858,0,-0.8559217137917092,0,0.18820657725341808,0,-0.8940111340569828,0,2.077720966132973,0,0.7723046824730216,0
zipf,True,1.0,19,undersplit_25,0.9427226709966361,0,-0.9420060616545747,0,0.20073309561794034,0,-0.8975161705627512,0,1.980511175503851,0,0.772558783116887,0
zipf,True,1.0,20,clean,0.943728925489232,0,-0.951052527410576,0,0.21659471326815086,0,-0.9700703223393355,0,2.056104600251396,0,0.7662801060916449,0
zipf,True,1.0,20,confuse_6.7,0.8712993283918732,0,-0.6985641204317691,0,0.12727015447350254,0,-0.9387561536039342,0,2.30606588521447,0,0.690768005922607,0
zipf,True,1.0,20,confuse_19.19,0.7699037366967851,0,-0.4701587739169051,0,0.11875391697211383,0,-1.2581824023523493,0,2.5373250565687036,0,0.5664897793244739,0
zipf,True,1.0,20,oversplit_25,0.9215492278702623,0,-0.8126381262989597,0,0.1966785513876382,0,-1.0291605127029455,0,2.1387654903307887,0,0.7388462068280636,0
zipf,True,1.0,20,undersplit_25,0.937487159274131,0,-0.8995822444192236,0,0.21453323185117917,0,-0.9966439774788147,0,2.2057489826363974,0,0.7266685459915696,0
zipf,True,1.0,21,clean,0.9473306935278485,0,-0.9797300403607647,0,0.20162266673634843,0,-0.8685286750760748,0,2.0080433920776763,0,0.7980267031382211,0
zipf,True,1.0,21,confuse_6.7,0.8688183163880483,0,-0.7160109549010626,0,0.11796299881710934,0,-0.8334754843333783,0,2.272984786904816,0,0.7186767663354944,0
zipf,True,1.0,21,confuse_19.19,0.7616780790041051,0,-0.4783127618395061,0,0.11108099659968972,0,-1.1845121194090664,0,2.739053767107201,0,0.5856784661969598,0
zipf,True,1.0,21,oversplit_25,0.9266129350629384,0,-0.8545353875028386,0,0.18528846294223272,0,-0.8755441667295287,0,2.0976512640453873,0,0.7761114103883251,0
zipf,True,1.0,21,undersplit_25,0.9420142627127535,0,-0.9154593301262972,0,0.21036362489748206,0,-0.9709680812112302,0,2.010427460661864,0,0.7445287573628767,0
zipf,True,1.0,22,clean,0.9465149316024482,0,-0.9819812006177995,0,0.2105048638848906,0,-0.90150914884126,0,1.9651044055689195,0,0.8024584322455528,0
zipf,True,1.0,22,confuse_6.7,0.8686629681393646,0,-0.7178398048735637,0,0.12028860509110122,0,-0.8433440381607993,0,2.231748788328617,0,0.7185085782755041,0
zipf,True,1.0,22,confuse_19.19,0.7596216255052162,0,-0.4884040784128544,0,0.1165399729206302,0,-1.2270858666141695,0,2.5857819654017202,0,0.5866891059571265,0
zipf,True,1.0,22,oversplit_25,0.9202299670501694,0,-0.8479353684201641,0,0.20386191777033444,0,-0.9199063522110912,0,2.1206469982112903,0,0.7697320152760581,0
