law,mean_repeats,dataset,year,source,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
geometric,1.0,27,2016,true,100,0.7858653965878636,36,4.325437837419432,24,0.24,0.47,0,-1.1842208110919215,-0.9498797666669236,0.34217334884032147,False,3.586454332403946,0.37150593733306264,4.121147867408581e-13,
geometric,1.0,27,2017,discovered,545,0.8928417146677227,1,1.9638549070423346,545,1.0,0.0,0,11.564818314452253,6.665288886336625,2.641452570597085e-11,False,-836974.1833606311,836.4511864977784,0.0071744484039300005,
geometric,1.0,27,2017,true,100,0.7077810974668521,35,4.417940550329016,25,0.25,0.19,0,-1.4278487590346747,-1.1486869861318247,0.25068507396842377,False,3.601106098383018,0.3409290046252301,1.0459189070388675e-11,
geometric,1.0,28,2010,discovered,157,0.8789075680338322,1,2.419465766645888,157,1.0,0.03,0,-4.007474594086746,-1.891722205392835,0.05852800314302716,False,-0.6727911968344734,0.9682779782655846,2.2737367544323206e-13,
geometric,1.0,28,2010,true,76,0.8051741997745605,7,6.424020949948456,12,0.15789473684210525,0.34,0,-0.2531690798624531,-0.47836555219560606,0.632390047247902,False,1.7550484898721472,0.29344020114879515,1.0658141036401503e-14,
geometric,1.0,28,2011,discovered,202,0.8916745048986919,1,2.0201681448635975,202,1.0,0.0,0,-1.083258078915251,-0.7276812829868687,0.46680871048661166,False,-8.351455659056821,2.7729782913733336,3.701643436215818e-10,
geometric,1.0,28,2011,true,87,0.7811937818354018,9,3.7694040971525937,24,0.27586206896551724,0.2,0,-1.2971289404075323,-1.0045000603747571,0.31513764214652384,False,2.2286086997011223,0.4208718595158577,1.7763568394002505e-13,
geometric,1.0,28,2012,discovered,296,0.9189356010419463,1,1.9815689464681134,296,1.0,0.0,0,0.10221348940934583,0.07444086302444859,0.9406595949905784,False,-57.24679986509042,6.917944726458659,0.0001813484030321888,
geometric,1.0,28,2012,true,98,0.8335707654733628,16,3.611940771511908,20,0.20408163265306123,0.51,0,-0.8765665777355198,-0.8972157103511761,0.36960382362909716,False,2.719377011482221,0.4925830962939458,7.602807272633072e-13,
geometric,1.0,28,2013,discovered,276,0.8922621198880077,1,2.1017972759807004,276,1.0,0.06,0,1.2604720864417276,1.2440202737203534,0.2134921014509511,False,-370119.4949167374,516.8160410602209,0.0004825072946914588,
