regime,undefined_policy,law,mean_repeats,dataset,threshold,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,zero,lognormal,1.0,7,0.5,0.850496236417472,0,-0.6650473187860798,56.2,0.5394612897457038,10.053333333333333,12080,30,0.6199905010150887,0.01789967645692789,12.877648149509895,0.004975124378109453,0.0023333333333333335,0,0.7397265839837194,0.009231408937975518,11.999214115418093,0.004975124378109453,0.0,0,0.8047510830366886,0.010693310883516691,4.277922327246433,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,8,0.5,0.8777664704747524,0,-0.8126686740740786,50.833333333333336,0.6308263352935094,12.116666666666667,13054,30,0.48373316302532077,0.02240258998946586,17.588738964321262,0.004975124378109453,0.03933333333333333,0,0.774521796423995,0.008469880007550817,12.189626530566644,0.004975124378109453,0.0003333333333333333,0,0.8233199763468056,0.011350329996378578,4.796908472733252,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,9,0.5,0.8806018918347397,0,-0.7783784898660246,53.6,0.6864739556532087,11.476666666666667,12565,30,0.4795099291320489,0.02353992015002179,17.038798778691675,0.004975124378109453,0.03983333333333333,0,0.7721814247562377,0.007410635549106032,14.63038714561817,0.004975124378109453,0.0,0,0.8504690768032944,0.0083565054840038,3.6059109982188295,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,10,0.5,0.8645592060396647,0,-0.6561323498540826,52.46666666666667,0.5604594906073864,9.306666666666667,13067,30,0.4944380217051072,0.023519270622135904,15.736932929637975,0.004975124378109453,0.08633333333333333,0,0.7135738474667264,0.011045393629081055,13.669531720029784,0.004975124378109453,0.0,0,0.8082386748350552,0.01190542355561072,4.7306616972956945,0.004975124378109453,0.0003333333333333333,0
finch,zero,lognormal,1.0,11,0.5,0.8792367895958966,0,-0.7634007793613934,53.833333333333336,0.6453810051485149,11.52,13128,30,0.4740933434670687,0.023954645295452034,16.912938644336652,0.004975124378109453,0.03183333333333333,0,0.7682853813385954,0.00679679292484763,16.324082473027307,0.004975124378109453,0.0,0,0.8388915046029857,0.010614824218501958,3.800843439553889,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,12,0.5,0.8741123236245585,0,-0.6817640490991402,55.7,0.5844966773473395,10.146666666666667,12456,30,0.5317849776675598,0.021819179060375834,15.689286247193118,0.004975124378109453,0.0225,0,0.7618882396780955,0.008085800562789435,13.879155573402862,0.004975124378109453,0.0,0,0.8271129960690115,0.009644403962596929,4.873222620891921,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,13,0.5,0.8506964251177548,0,-0.6282773446892583,57.233333333333334,0.5923088949852923,9.693333333333333,11674,30,0.5263289085733548,0.022669826996875538,14.308336653345695,0.004975124378109453,0.03233333333333333,0,0.7035197719565528,0.010072238550753398,14.612109554354552,0.004975124378109453,0.0,0,0.7993460742182086,0.011992912808533786,4.281724691853582,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,14,0.5,0.8694938213709817,0,-0.7536877986777554,55.333333333333336,0.5999914537829324,11.353333333333333,13492,30,0.5182471154837563,0.020781449171616624,16.901935133905837,0.004975124378109453,0.027666666666666666,0,0.7488477946961354,0.008554062936949621,14.103944238440304,0.004975124378109453,0.0,0,0.8097864625529059,0.012177569278558875,4.903060491982009,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,0,0.5,0.8740025139733878,0,-0.6989681313953964,54.9,0.5960649223677563,10.466666666666667,12350,30,0.5071003538750682,0.023535244162550487,15.589477532684274,0.004975124378109453,0.0195,0,0.7383728167194914,0.009488713507553889,14.293792003091113,0.004975124378109453,0.001,0,0.8215425196429439,0.011740907098347282,4.468138099638696,0.004975124378109453,0.00016666666666666666,0
finch,zero,geometric,1.0,1,0.5,0.8872659598461197,0,-0.7691682498292252,55.56666666666667,0.6140164709384824,11.726666666666667,12818,30,0.49766965256802065,0.022481972389448865,17.329276120850615,0.004975124378109453,0.0335,0,0.7910295615030344,0.006487202984535365,14.834806090159372,0.004975124378109453,0.0,0,0.8296028508112069,0.010166796061366657,5.671709030736818,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,2,0.5,0.8740694012149818,0,-0.8162617432649777,50.53333333333333,0.6438833518226624,11.876666666666667,12099,30,0.5918439630956926,0.01933636894050738,14.595575776797505,0.004975124378109453,0.019333333333333334,0,0.7642598883865357,0.00910520400913537,12.060082642659381,0.004975124378109453,0.00016666666666666666,0,0.8617885832009584,0.009008471595501213,1.3632521214982067,0.0945273631840796,0.00016666666666666666,0
finch,zero,geometric,1.0,3,0.5,0.8869320321745858,0,-0.8644920240054639,50.5,0.612201024469516,13.02,12142,30,0.54870138156454,0.021833513155029415,15.491352592156403,0.004975124378109453,0.008833333333333334,0,0.8302375206640344,0.005427071508946256,10.446612213805054,0.004975124378109453,0.0,0,0.8773062742433574,0.00797180101908166,1.2074759402784634,0.12437810945273632,0.0,0
finch,zero,geometric,1.0,4,0.5,0.8633029208280113,0,-0.7210763064342783,55.36666666666667,0.5989426659472697,10.923333333333334,12514,30,0.488149879535815,0.022984965334688856,16.32167096314982,0.004975124378109453,0.03333333333333333,0,0.771727135198584,0.007470386316150142,12.25850735877616,0.004975124378109453,0.0,0,0.8305380003488432,0.011212120338281761,2.9222769191388553,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,5,0.5,0.8616974773508768,0,-0.6581886587363359,57.0,0.5342081864485272,10.076666666666666,12834,30,0.6567814092106921,0.016723216586497874,12.253388400508518,0.004975124378109453,0.003,0,0.7343027644403065,0.008433920128370173,15.105041424572851,0.004975124378109453,0.0,0,0.7752086887354044,0.013702914282801803,6.311707628794144,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,6,0.5,0.8830507389971337,0,-0.7445927594303449,54.2,0.6151340110072177,11.143333333333333,12551,30,0.44558451665090376,0.025603913157205012,17.085912597040885,0.004975124378109453,0.0555,0,0.7655335306377308,0.0072904523404243365,16.11933016937642,0.004975124378109453,0.0,0,0.8477482985008163,0.009142636829645499,3.86129747403367,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,7,0.5,0.8735952558211306,0,-0.7608397238636564,54.86666666666667,0.6334384993547882,11.453333333333333,13193,30,0.5413928358546685,0.020751800833516645,16.008365858538667,0.004975124378109453,0.008666666666666666,0,0.7664068519685773,0.007225280279217732,14.835189738017808,0.004975124378109453,0.0,0,0.828133642478349,0.010967566611175747,4.145095713068851,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,8,0.5,0.8874566996205325,0,-0.7606045257389107,54.0,0.6060788436695927,11.366666666666667,12843,30,0.5113001433108724,0.021221438398094313,17.72530915451231,0.004975124378109453,0.074,0,0.775783837833871,0.00648480120640769,17.220707039765017,0.004975124378109453,0.0,0,0.8370337568580335,0.009945659100337133,5.069844266106991,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,9,0.5,0.9182837417691637,0,-0.8568709020165282,54.666666666666664,0.6418402567657864,13.406666666666666,14050,30,0.5313711892882527,0.0224419676050036,17.240580651878584,0.004975124378109453,0.038,0,0.8218660986430143,0.004862988227058461,19.826830463965738,0.004975124378109453,0.0,0,0.8597164924835927,0.007990461710696896,7.32964519524154,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,10,0.5,0.8916399559261753,0,-0.8020277724525658,52.43333333333333,0.662203350477692,11.763333333333334,12981,30,0.4960058615788342,0.021598215302246294,18.317906771963408,0.004975124378109453,0.0115,0,0.7749129717972528,0.007452430666675075,15.662941307309145,0.004975124378109453,0.0,0,0.8367897701459259,0.010072067057679754,5.4457724979528574,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,11,0.5,0.8946324353354308,0,-0.8033538524474468,54.03333333333333,0.6071948413053504,12.213333333333333,12688,30,0.563988810294402,0.020232871893117926,16.341902760403233,0.004975124378109453,0.043333333333333335,0,0.8119610540099808,0.005560241849219877,14.868306733285198,0.004975124378109453,0.0,0,0.8697804739739038,0.008107623112006034,3.0652585866658515,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,12,0.5,0.8880685965131453,0,-0.8057866492659173,53.86666666666667,0.5782785357869057,12.483333333333333,11983,30,0.49704631553666717,0.022662168796020815,17.25440687058763,0.004975124378109453,0.04766666666666667,0,0.805006835373733,0.005629472976458267,14.754802356591096,0.004975124378109453,0.0,0,0.8678985555574079,0.008694662653872027,2.3198186932249727,0.014925373134328358,0.0,0
finch,zero,geometric,1.0,13,0.5,0.871971484933235,0,-0.7731613962192051,52.1,0.6255485200888612,11.486666666666666,11455,30,0.5451071351569146,0.020757052432788598,15.747146702775272,0.004975124378109453,0.011666666666666667,0,0.7861431646909813,0.007614974055147416,11.270993127578304,0.004975124378109453,0.0,0,0.8479857519353665,0.009890775490373637,2.425060908642902,0.004975124378109453,0.0,0
finch,zero,geometric,1.0,14,0.5,0.8862848124555511,0,-0.7924073688661317,52.666666666666664,0.637740206664335,11.586666666666666,11981,30,0.4884418938859945,0.02566345282987031,15.502314564098626,0.004975124378109453,0.0335,0,0.7868342407299245,0.0077694066080318215,12.800278932861758,0.004975124378109453,0.0,0,0.8535169884942598,0.010143685101305292,3.230366837499197,0.004975124378109453,0.0,0
