regime,law,mean_repeats,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
finch,zipf,1.0,0,5,,discovered,1.0,1.0,0.05,41,0.9487207161118721,2.0,2.310158380781426,19.0,0.4634146341463415,0.74,0.0,-0.2995456521329314,-0.5378247570865105,0.5906980384678342,False,-1.4748274535457582,1.4954973079825093,1.2995826637052232e-11,
finch,zipf,1.0,0,5,,true,1.0,1.0,0.05,10,0.9441213314271935,3.0,1.715265940730668,10.0,1.0,0.43,0.0,-1.4617970649416028,-1.083308448362935,0.2786715366166831,False,2.017757510814735,1.0808431670703662,3.268496584496461e-13,
finch,zipf,1.0,0,6,,discovered,1.0,1.0,0.05,37,0.9451788484282497,2.0,2.1880815902507966,23.0,0.6216216216216216,0.19,0.0,-0.2192278545437294,-0.3690285060428087,0.7121064772787975,False,-2.618321095574548,1.8525420579447922,2.098232698699576e-11,
finch,zipf,1.0,0,6,,true,1.0,1.0,0.05,10,0.9654795303480722,5.0,2.083850572522243,10.0,1.0,0.82,0.0,-0.6169189038861402,-0.7552207574992229,0.45011653587553113,False,1.703370734211982,1.0498865487304265,1.893596390800667e-11,
finch,zipf,1.0,0,7,,discovered,1.0,1.0,0.05,36,0.9108990205149265,3.0,2.5862967958797913,13.0,0.3611111111111111,0.34,0.0,-0.5778116147043546,-0.769820357199486,0.44140646227998315,False,0.945134933295771,0.7835798158206864,4.320099833421409e-12,
finch,zipf,1.0,0,7,,true,1.0,1.0,0.05,10,0.9744586862343095,4.0,1.9196210820255912,10.0,1.0,0.68,0.0,-0.664573289146301,-0.8042714385696911,0.4212402288986039,False,1.5425120602610385,1.203656593406989,6.892264536872972e-13,
finch,zipf,1.0,0,8,,discovered,1.0,1.0,0.05,38,0.9209784895840442,1.0,2.026277870871456,38.0,1.0,0.48,0.0,-0.6009737072416743,-0.6792067669255705,0.4970068602700618,False,-3.5824092263594407,1.9711787961856226,7.882050567786791e-11,
finch,zipf,1.0,0,8,,true,1.0,1.0,0.05,10,0.9757087287473364,5.0,2.1910081052186507,10.0,1.0,0.29,0.0,0.0015467753997180367,0.007661265939159913,0.9938872539889315,False,-9.957672816187491,3.226671821991257,4.903036483483447e-07,
finch,zipf,1.0,0,9,,discovered,1.0,1.0,0.05,47,0.8477637498426839,1.0,2.402884474689912,47.0,1.0,0.49,0.0,0.29552319766922913,0.828754296827476,0.40724345452891864,False,-480204.4295044369,520.6803979308133,0.00021289774485921953,
finch,zipf,1.0,0,9,,true,1.0,1.0,0.05,10,0.7919395395507671,1.0,1.3584198627540034,10.0,1.0,0.0,0.0,-6.1381541406336595,-2.0558085204392804,0.039800976429598144,False,2.3415036841211316,0.9472069873482512,1.0658141036401503e-13,
finch,zipf,1.0,0,10,,discovered,1.0,1.0,0.05,29,0.9610408309532785,1.0,1.7212550074632258,29.0,1.0,0.22,0.0,-1.6423751950943233,-1.0666637354098583,0.28612370851699,False,-0.6106486769577664,1.6593079920179379,2.0165202840871643e-11,
finch,zipf,1.0,0,10,,true,1.0,1.0,0.05,10,0.8903984095081359,2.0,1.5300032757980597,10.0,1.0,0.0,0.0,-3.4965040247850245,-1.7159109036103488,0.08617835074961176,False,2.308917341059109,0.9270278602461316,5.471179065352771e-13,
finch,zipf,1.0,0,11,,discovered,1.0,1.0,0.05,30,0.9606632465307985,1.0,1.7955752981059272,30.0,1.0,0.65,0.0,-0.8178087193378167,-0.746270788252796,0.45550385390959414,False,-2.808344254864676,2.1575681063082444,3.1946001399774104e-11,
finch,zipf,1.0,0,11,,true,1.0,1.0,0.05,10,0.8377927964199237,2.0,1.5105933200369959,10.0,1.0,0.0,0.0,-4.87808099891436,-1.8066756585563037,0.07081286515677956,False,2.431033411902221,0.7860940384298358,3.055333763768431e-13,
finch,zipf,1.0,0,12,,discovered,1.0,1.0,0.05,26,0.9389801435950551,2.0,2.0528211926104176,19.0,0.7307692307692307,0.61,0.0,-0.46456811626217553,-0.5669429254024755,0.5707529590879654,False,-1.2527119314781996,1.6845452958577705,2.5430324512853986e-11,
finch,zipf,1.0,0,12,,true,1.0,1.0,0.05,10,0.9301734042666614,3.0,1.7532580899980177,10.0,1.0,0.42,0.0,-0.757899765755476,-0.7009952292752493,0.4833059924840112,False,1.4375998117621909,1.3742122597670066,1.5845103007450234e-12,
finch,zipf,1.0,0,13,,discovered,1.0,1.0,0.05,28,0.9736252985830333,1.0,1.7053745761759966,28.0,1.0,0.25,0.0,-1.2684747380574128,-1.0031484363609322,0.3157892475757095,False,-1.5061003348582789,1.9920733318090638,4.601616865329561e-10,
finch,zipf,1.0,0,13,,true,1.0,1.0,0.05,10,0.9857011963407842,3.0,1.744095768635861,10.0,1.0,0.63,0.0,-1.0982565731816492,-1.0786350646860072,0.28075044345466305,False,1.7667364515114357,1.196060983262183,2.3945290195115376e-12,
finch,zipf,1.0,0,14,,discovered,1.0,1.0,0.05,29,0.9593428669920797,2.0,2.0563557615686543,21.0,0.7241379310344828,0.39,0.0,-0.1857688977331684,-0.3160142523544018,0.7519916902513699,False,-4.4956100019896414,2.366739605265429,6.536573948778823e-09,
finch,zipf,1.0,0,14,,true,1.0,1.0,0.05,10,0.9841736629351635,4.0,1.910508203244221,10.0,1.0,0.83,0.0,-0.6908409815242709,-0.8254678929217937,0.4091060036650832,False,1.5908171227595078,1.1928510726208765,2.284394895468722e-11,
finch,zipf,1.0,0,15,,discovered,1.0,1.0,0.05,31,0.9544853441741596,1.0,1.8900250069898596,31.0,1.0,0.93,0.0,-0.16328303410760225,-0.2785688655999862,0.7805757088552392,False,-20.955404640850556,4.521244584232711,1.2956419936926977e-08,
