law,mean_repeats,rep,n_elements_total,true_word_types,true_r2,threshold,pipeline_r2,n_unit_types,n_units,boundary_f1,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,rotate_mean,rotate_sd,rotate_z,rotate_p,bigram_mean,bigram_sd,bigram_z,bigram_p
zipf,5.0,8,5680,69,0.8910870018597215,0.75,0.9209002579510214,187,1614,0.2972082111830973,,,,,,,,,,,,
zipf,5.0,9,5712,64,0.9059324844761645,0.25,0.9186624116270278,192,439,0.2721002008293284,,,,,,,,,,,,
zipf,5.0,9,5712,64,0.9059324844761645,0.5,0.951705393408907,201,904,0.43171541013053905,0.7015116216034661,0.017703660272861122,14.132318850976606,0.004975124378109453,0.905825116226458,0.008701026545633333,5.272972900591177,0.004975124378109453,0.8608612368411853,0.014949471384543313,6.076747078940068,0.004975124378109453
zipf,5.0,9,5712,64,0.9059324844761645,0.75,0.9317500994598676,161,1887,0.6033593697182736,,,,,,,,,,,,
zipf,5.0,10,5784,65,0.8918030492615361,0.25,0.8535359723443204,193,376,0.2708358390028313,,,,,,,,,,,,
zipf,5.0,10,5784,65,0.8918030492615361,0.5,0.9375075315017443,199,1167,0.4873236257617786,0.6580577150739214,0.021811525694350083,12.812025180806573,0.004975124378109453,0.9090832335171565,0.009261583027915087,3.0690539510270414,0.004975124378109453,0.8923513606825253,0.012950944044173945,3.486708819464997,0.004975124378109453
zipf,5.0,10,5784,65,0.8918030492615361,0.75,0.9079908849911295,188,2278,0.4018310462033117,,,,,,,,,,,,
zipf,5.0,11,5350,72,0.8921374786063538,0.25,0.9023875588330839,194,504,0.3320824163705245,,,,,,,,,,,,
zipf,5.0,11,5350,72,0.8921374786063538,0.5,0.9429949277655862,196,985,0.4004223080489847,0.6811493811580975,0.019551630049130388,13.392517449926638,0.004975124378109453,0.9013554966562063,0.008499096650975368,4.899277278438921,0.004975124378109453,0.8864379860818454,0.01288706241318782,4.388660493012274,0.004975124378109453
zipf,5.0,11,5350,72,0.8921374786063538,0.75,0.9369182386482077,175,1891,0.45315159251618553,,,,,,,,,,,,
zipf,5.0,12,5386,69,0.8962254983924028,0.25,0.8369746126886696,185,315,0.23107426929212455,,,,,,,,,,,,
zipf,5.0,12,5386,69,0.8962254983924028,0.5,0.9273593710472349,205,873,0.25784146370220545,0.599672820811425,0.02550749320056047,12.846677941233741,0.004975124378109453,0.8935659544703092,0.010451467556411279,3.233365687117852,0.004975124378109453,0.9052308857388826,0.009419954997576392,2.3491073273753043,0.004975124378109453
zipf,5.0,12,5386,69,0.8962254983924028,0.75,0.9273796461797192,174,1874,0.5061721788758754,,,,,,,,,,,,
zipf,5.0,13,5792,62,0.8782852981596938,0.25,0.8577538803469125,185,323,0.2588217565460613,,,,,,,,,,,,
zipf,5.0,13,5792,62,0.8782852981596938,0.5,0.9485994699584049,214,675,0.27595232010591475,0.5355239233382157,0.02854001946223559,14.473555183337364,0.004975124378109453,0.8685086654133434,0.016481759381513313,4.859360138147329,0.004975124378109453,0.8762601496360068,0.014368077077739521,5.034725240615078,0.004975124378109453
zipf,5.0,13,5792,62,0.8782852981596938,0.75,0.9430991980904443,178,1698,0.44376431431858865,,,,,,,,,,,,
zipf,5.0,14,6642,67,0.876844108313474,0.25,0.8731637582762358,194,506,0.3657799313603828,,,,,,,,,,,,
zipf,5.0,14,6642,67,0.876844108313474,0.5,0.9215871750170463,196,1365,0.3825349609586018,0.6782543784048681,0.014823245756459357,16.415621828717494,0.004975124378109453,0.9139398323905052,0.008366903224757909,0.9139991728256627,0.208955223880597,0.9095973065385834,0.006809310861550668,1.7608049804517996,0.03482587064676617
zipf,5.0,14,6642,67,0.876844108313474,0.75,0.9208261131592352,187,2145,0.329229048642202,,,,,,,,,,,,
zipf,5.0,15,5829,73,0.8501902556685269,0.25,0.8625172618339451,212,410,0.25845343284142863,,,,,,,,,,,,
zipf,5.0,15,5829,73,0.8501902556685269,0.5,0.9204857444671003,226,856,0.28056364044144516,0.567019020848178,0.027031764054858097,13.075976947031613,0.004975124378109453,0.884020614258965,0.009288309558041713,3.9259167645380795,0.004975124378109453,0.8944219345855366,0.009616584089923177,2.710298130588266,0.004975124378109453
zipf,5.0,15,5829,73,0.8501902556685269,0.75,0.8855902660967193,215,1566,0.2812483133705877,,,,,,,,,,,,
zipf,5.0,16,6081,74,0.837807815064501,0.25,0.8726064169199617,193,480,0.2843031470884624,,,,,,,,,,,,
zipf,5.0,16,6081,74,0.837807815064501,0.5,0.9097550697783341,215,1201,0.3448170382272981,0.5780747138088356,0.0264907407991004,12.520614598318899,0.004975124378109453,0.9053910528253377,0.007653604554447914,0.5701910677447025,0.2885572139303483,0.8910167693547411,0.010113252634638888,1.852846072430991,0.014925373134328358
zipf,5.0,16,6081,74,0.837807815064501,0.75,0.8996544011449932,198,1956,0.4963701911306155,,,,,,,,,,,,
zipf,5.0,17,5545,67,0.8849734923789758,0.25,0.8937698293423691,206,515,0.19313856856389475,,,,,,,,,,,,
zipf,5.0,17,5545,67,0.8849734923789758,0.5,0.9557855194754578,195,1476,0.4848027970588081,0.6657930898731085,0.018713212825010334,15.496667104366624,0.004975124378109453,0.9228881793890491,0.008057671637793373,4.082735257181283,0.004975124378109453,0.927429592941676,0.009349669304128873,3.032826682036718,0.004975124378109453
zipf,5.0,17,5545,67,0.8849734923789758,0.75,0.9401816215250819,181,1914,0.5306668595971208,,,,,,,,,,,,
zipf,5.0,18,6204,64,0.8576174837050892,0.25,0.8497065733341443,181,434,0.26046068581679505,,,,,,,,,,,,
zipf,5.0,18,6204,64,0.8576174837050892,0.5,0.9275066820515325,184,1103,0.4538423821383296,0.6626922701709222,0.01847891302051683,14.330627109213147,0.004975124378109453,0.9183103285315128,0.007426655026126108,1.238290116838332,0.07960199004975124,0.8862827722824015,0.011412698218860998,3.6121089840965968,0.004975124378109453
zipf,5.0,18,6204,64,0.8576174837050892,0.75,0.892093683858893,173,2011,0.38582668574578294,,,,,,,,,,,,
zipf,5.0,19,6104,77,0.9159449120786349,0.25,0.9195029564591203,202,431,0.3129425198650865,,,,,,,,,,,,
zipf,5.0,19,6104,77,0.9159449120786349,0.5,0.9516855030954375,213,1052,0.4239115792613996,0.6664595521899827,0.017443568495889215,16.351353278010276,0.004975124378109453,0.9014712815280009,0.008036795284131764,6.248040393237585,0.004975124378109453,0.8537449286516275,0.013544805669685444,7.230858591276083,0.004975124378109453
zipf,5.0,19,6104,77,0.9159449120786349,0.75,0.9358234645030801,198,1876,0.5347545322419236,,,,,,,,,,,,
uniform,1.0,0,5668,100,0.6240297952530517,0.25,0.8072148958216676,443,758,0.6841402907197455,,,,,,,,,,,,
uniform,1.0,0,5668,100,0.6240297952530517,0.5,0.8206924846582564,438,1469,0.7126154987752267,0.3785499056868897,0.042513839016303234,10.399968320946353,0.004975124378109453,0.7567311718722146,0.010584579365005205,6.04287714989516,0.004975124378109453,0.754469409341933,0.01729722001834339,3.828538646446946,0.004975124378109453
uniform,1.0,0,5668,100,0.6240297952530517,0.75,0.8052888816161708,378,2319,0.6084358384797255,,,,,,,,,,,,
uniform,1.0,1,5312,100,0.6447467444090131,0.25,0.8070228278560385,436,821,0.709410989059939,,,,,,,,,,,,
uniform,1.0,1,5312,100,0.6447467444090131,0.5,0.8249833871660529,395,1404,0.7585608658708198,0.39217017825196265,0.047982973253009445,9.02014151211325,0.004975124378109453,0.7770944227547196,0.010288980034187165,4.654393754503629,0.009950248756218905,0.7599680569093491,0.016267477682678527,3.9966448102726817,0.004975124378109453
uniform,1.0,1,5312,100,0.6447467444090131,0.75,0.7706251364517834,334,2058,0.6921312048353375,,,,,,,,,,,,
uniform,1.0,2,5707,100,0.7211765974654509,0.25,0.7807893323398379,441,678,0.6457506239372897,,,,,,,,,,,,
