kind,config,sweep,policy,law,level,statistic,auc,lo,hi,r2_zipf,r2_law,cuts_zipf,cuts_law,share_zipf,share_law
finch,primary,rep1000,zero,uniform,repeats=1,bigram_z,0.36,0.22655555555555554,0.5066944444444443,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,zero,uniform,repeats=1,observed_mean_slope,0.19444444444444445,0.09327777777777778,0.3111111111111111,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,zero,uniform,repeats=1,observed_mean_unit_types,0.15611111111111112,0.06552777777777778,0.2611666666666664,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,zero,lognormal,repeats=1,observed_mean_r2,0.6355555555555555,0.49,0.7711111111111111,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,zero,lognormal,repeats=1,shuffle_z,0.5866666666666667,0.43772222222222223,0.7322499999999998,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,zero,lognormal,repeats=1,rotate_z,0.6177777777777778,0.4710833333333333,0.7544444444444445,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,zero,lognormal,repeats=1,bigram_z,0.5922222222222222,0.44666666666666666,0.7322222222222222,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,zero,lognormal,repeats=1,observed_mean_slope,0.5922222222222222,0.44663888888888886,0.7411388888888888,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,zero,lognormal,repeats=1,observed_mean_unit_types,0.7,0.5660972222222223,0.8261388888888888,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,zero,geometric,repeats=1,observed_mean_r2,0.6311111111111111,0.4866666666666667,0.7633333333333333,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,rep1000,zero,geometric,repeats=1,shuffle_z,0.6711111111111111,0.5255277777777778,0.8011111111111111,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,rep1000,zero,geometric,repeats=1,rotate_z,0.7177777777777777,0.57775,0.8411388888888888,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,rep1000,zero,geometric,repeats=1,bigram_z,0.6566666666666666,0.5011111111111111,0.8044444444444444,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,rep1000,zero,geometric,repeats=1,observed_mean_slope,0.6766666666666666,0.5288888888888889,0.8111111111111111,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,rep1000,zero,geometric,repeats=1,observed_mean_unit_types,0.69,0.5522222222222222,0.8144444444444444,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,sigma0.5,skip,lognormal,repeats=1,observed_mean_r2,0.8277777777777777,0.7155555555555555,0.9233333333333333,0.9228711718503102,0.9059773053827999,11.396777777777777,11.101111111111113,0.7666666666666667,0.8666666666666667
finch,primary,sigma0.5,skip,lognormal,repeats=1,shuffle_z,0.5,0.3543888888888889,0.6522222222222223,0.9228711718503102,0.9059773053827999,11.396777777777777,11.101111111111113,0.7666666666666667,0.8666666666666667
finch,primary,sigma0.5,skip,lognormal,repeats=1,rotate_z,0.4,0.2611111111111111,0.543361111111111,0.9228711718503102,0.9059773053827999,11.396777777777777,11.101111111111113,0.7666666666666667,0.8666666666666667
finch,primary,sigma0.5,skip,lognormal,repeats=1,bigram_z,0.39111111111111113,0.25666666666666665,0.5388888888888889,0.9228711718503102,0.9059773053827999,11.396777777777777,11.101111111111113,0.7666666666666667,0.8666666666666667
finch,primary,sigma0.5,skip,lognormal,repeats=1,observed_mean_slope,0.3088888888888889,0.1744166666666667,0.45111111111111113,0.9228711718503102,0.9059773053827999,11.396777777777777,11.101111111111113,0.7666666666666667,0.8666666666666667
finch,primary,sigma0.5,skip,lognormal,repeats=1,observed_mean_unit_types,0.24555555555555555,0.12441666666666666,0.37666666666666665,0.9228711718503102,0.9059773053827999,11.396777777777777,11.101111111111113,0.7666666666666667,0.8666666666666667
finch,primary,sigma1.5,skip,lognormal,repeats=1,observed_mean_r2,0.6866666666666666,0.5466388888888889,0.8188888888888889,0.9228711718503102,0.9136518879532365,11.396777777777777,10.39011111111111,0.7666666666666667,0.3
finch,primary,sigma1.5,skip,lognormal,repeats=1,shuffle_z,0.7111111111111111,0.5755555555555556,0.8322222222222222,0.9228711718503102,0.9136518879532365,11.396777777777777,10.39011111111111,0.7666666666666667,0.3
finch,primary,sigma1.5,skip,lognormal,repeats=1,rotate_z,0.8133333333333334,0.6988888888888889,0.91,0.9228711718503102,0.9136518879532365,11.396777777777777,10.39011111111111,0.7666666666666667,0.3
finch,primary,sigma1.5,skip,lognormal,repeats=1,bigram_z,0.8022222222222222,0.6821944444444444,0.9055555555555556,0.9228711718503102,0.9136518879532365,11.396777777777777,10.39011111111111,0.7666666666666667,0.3
finch,primary,sigma1.5,skip,lognormal,repeats=1,observed_mean_slope,0.6922222222222222,0.5510833333333334,0.8189166666666665,0.9228711718503102,0.9136518879532365,11.396777777777777,10.39011111111111,0.7666666666666667,0.3
finch,primary,sigma1.5,skip,lognormal,repeats=1,observed_mean_unit_types,0.9455555555555556,0.8655555555555555,0.9944444444444445,0.9228711718503102,0.9136518879532365,11.396777777777777,10.39011111111111,0.7666666666666667,0.3
finch,primary,sigma2,skip,lognormal,repeats=1,observed_mean_r2,0.76,0.6310833333333333,0.8778055555555554,0.9228711718503102,0.9060450827070565,11.396777777777777,9.321555555555555,0.7666666666666667,0.06666666666666667
finch,primary,sigma2,skip,lognormal,repeats=1,shuffle_z,0.7933333333333333,0.6711111111111111,0.8944444444444445,0.9228711718503102,0.9060450827070565,11.396777777777777,9.321555555555555,0.7666666666666667,0.06666666666666667
finch,primary,sigma2,skip,lognormal,repeats=1,rotate_z,0.9277777777777778,0.8566666666666667,0.9833333333333333,0.9228711718503102,0.9060450827070565,11.396777777777777,9.321555555555555,0.7666666666666667,0.06666666666666667
finch,primary,sigma2,skip,lognormal,repeats=1,bigram_z,0.8355555555555556,0.7233333333333334,0.9266944444444443,0.9228711718503102,0.9060450827070565,11.396777777777777,9.321555555555555,0.7666666666666667,0.06666666666666667
finch,primary,sigma2,skip,lognormal,repeats=1,observed_mean_slope,0.6866666666666666,0.5366666666666666,0.8166666666666667,0.9228711718503102,0.9060450827070565,11.396777777777777,9.321555555555555,0.7666666666666667,0.06666666666666667
finch,primary,sigma2,skip,lognormal,repeats=1,observed_mean_unit_types,0.9811111111111112,0.9365833333333333,1.0,0.9228711718503102,0.9060450827070565,11.396777777777777,9.321555555555555,0.7666666666666667,0.06666666666666667
finch,primary,base,skip,uniform,repeats=1,observed_mean_r2,0.9855555555555555,0.9577777777777777,1.0,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,skip,uniform,repeats=1,shuffle_z,0.4911111111111111,0.3466666666666667,0.6388888888888888,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,skip,uniform,repeats=1,rotate_z,0.5933333333333334,0.4488611111111111,0.7389166666666666,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,skip,uniform,repeats=1,bigram_z,0.37555555555555553,0.24,0.5188888888888888,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,skip,uniform,repeats=1,observed_mean_slope,0.19444444444444445,0.09,0.31555555555555553,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
